threshold,precision,recall,f1
0.05,0.519193857965451,0.98140589569161,0.6791150164757571
0.060000000000000005,0.5399249061326659,0.9782312925170068,0.6958064516129032
0.07,0.5572916666666666,0.9705215419501134,0.7080231596360629
0.08000000000000002,0.5721939458880257,0.9687074829931973,0.7194341529134388
0.09000000000000001,0.5842696629213483,0.9668934240362812,0.728390843867441
0.1,0.5978567399887197,0.9614512471655329,0.737263084680925
0.11000000000000001,0.6175869120654397,0.9587301587301588,0.7512437810945274
0.12000000000000002,0.633212778782399,0.9528344671201814,0.7608183957993844
0.13,0.6444171024300215,0.9501133786848073,0.7679618768328446
0.14,0.6530995616781465,0.946031746031746,0.7727356917947769
0.15000000000000002,0.6636828644501279,0.9414965986394558,0.7785486592912056
0.16000000000000003,0.6750244220123738,0.9401360544217687,0.785822592873389
0.17000000000000004,0.684717607973422,0.9346938775510204,0.7904122722914669
0.18000000000000002,0.6909885675857431,0.9319727891156463,0.7935894960417069
0.19000000000000003,0.6990424076607387,0.926984126984127,0.797036459348801
0.20000000000000004,0.7042156185210781,0.9242630385487528,0.7993724259658757
0.21000000000000002,0.7101398601398602,0.9210884353741496,0.8019743336623889
0.22000000000000003,0.7142857142857143,0.9183673469387755,0.8035714285714286
0.23000000000000004,0.7193732193732194,0.9160997732426304,0.8059046479154199
0.24000000000000005,0.7253064167267483,0.9124716553287981,0.808194416549508
0.25000000000000006,0.7299562682215743,0.908390022675737,0.8094564558496666
0.26000000000000006,0.7328188166115399,0.9043083900226757,0.8095818107998376
0.27,0.7358070500927644,0.8993197278911564,0.8093877551020409
0.28,0.7391791044776119,0.8984126984126984,0.8110542476970317
0.29000000000000004,0.7460377358490566,0.8965986394557823,0.8144181256436663
0.30000000000000004,0.7494296577946769,0.8938775510204081,0.8153050672182006
0.31000000000000005,0.753639846743295,0.8920634920634921,0.817030114226376
0.32000000000000006,0.7583139984532096,0.8893424036281179,0.8186182425380922
0.33000000000000007,0.7626854020296643,0.8861678004535147,0.8198028109922383
0.3400000000000001,0.7660496258369437,0.8820861678004536,0.8199831365935919
0.3500000000000001,0.7685589519650655,0.8780045351473923,0.8196443691786621
