outcome,feature_set,model,fpr,tpr,threshold,auc
default,app,"Logistic (app, calibrated)",0.0,0.0,inf,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.00015262515262515263,0.0,0.20145678076712561,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.0004578754578754579,0.0,0.1917522237702283,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.0007631257631257631,0.0,0.15979719632818618,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.0010683760683760685,0.005649717514124294,0.14939685567349262,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.001984126984126984,0.005649717514124294,0.1438858772219976,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.0025946275946275945,0.005649717514124294,0.13236469610635454,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.004273504273504274,0.011299435028248588,0.1292522237702283,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.004426129426129426,0.011299435028248588,0.12708210639724757,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.005036630036630037,0.011299435028248588,0.1225855571035616,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.005647130647130647,0.01694915254237288,0.12217535090620815,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.0057997557997558,0.01694915254237288,0.12132532916072283,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.006105006105006105,0.01694915254237288,0.12107885967813799,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.006257631257631258,0.01694915254237288,0.11829658955653603,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.007478632478632479,0.02824858757062147,0.1179622161550743,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.007478632478632479,0.03389830508474576,0.1160635223401593,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.007783882783882784,0.03389830508474576,0.11027808222900859,0.6763600884363596
default,app,"Logistic (app, calibrated)",0.007783882783882784,0.03954802259887006,0.10876682960295,0.6763600884363596
