feature,importance_mean,importance_std
S3CLGBORROW,0.030958646616541362,0.004250822548621885
S3CLGCOST,0.004454887218045133,0.0016473931289177222
intended_field_group,0.013477443609022578,0.002098286641310662
institution_type,0.02644736842105262,0.0031318858220056984
X1FAMINCOME,0.011090225563909784,0.003553576275716418
X1PAREDU,0.012086466165413534,0.0024204366890329993
S3CLGSEL,0.023214285714285722,0.002686392091721151
X1SEX,0.006635338345864672,0.0026649999148833457
