outcome,feature_set,model,fpr,tpr,threshold,auc
default,full,Logistic L2,0.0,0.0,inf,0.8292986831122425
default,full,Logistic L2,0.00015262515262515263,0.0,0.9998192900289449,0.8292986831122425
default,full,Logistic L2,0.001221001221001221,0.0,0.99655719213966,0.8292986831122425
default,full,Logistic L2,0.001221001221001221,0.005649717514124294,0.9964975942021973,0.8292986831122425
default,full,Logistic L2,0.0013736263736263737,0.005649717514124294,0.9962738154944972,0.8292986831122425
default,full,Logistic L2,0.0013736263736263737,0.011299435028248588,0.9961352989843809,0.8292986831122425
default,full,Logistic L2,0.001678876678876679,0.011299435028248588,0.994793510218109,0.8292986831122425
default,full,Logistic L2,0.001678876678876679,0.01694915254237288,0.9947159521786082,0.8292986831122425
default,full,Logistic L2,0.001984126984126984,0.01694915254237288,0.9942624631036873,0.8292986831122425
default,full,Logistic L2,0.001984126984126984,0.022598870056497175,0.9941840846217789,0.8292986831122425
default,full,Logistic L2,0.0030525030525030525,0.022598870056497175,0.9930130424469155,0.8292986831122425
default,full,Logistic L2,0.0030525030525030525,0.02824858757062147,0.9925308110314427,0.8292986831122425
default,full,Logistic L2,0.004426129426129426,0.02824858757062147,0.9884826951124949,0.8292986831122425
default,full,Logistic L2,0.004426129426129426,0.03954802259887006,0.9878814017040582,0.8292986831122425
default,full,Logistic L2,0.005494505494505495,0.03954802259887006,0.9854480208668347,0.8292986831122425
default,full,Logistic L2,0.005494505494505495,0.04519774011299435,0.9853107423620802,0.8292986831122425
default,full,Logistic L2,0.006105006105006105,0.04519774011299435,0.9841587611312622,0.8292986831122425
default,full,Logistic L2,0.006105006105006105,0.05084745762711865,0.9841056531095373,0.8292986831122425
default,full,Logistic L2,0.00641025641025641,0.05084745762711865,0.9837813208788639,0.8292986831122425
default,full,Logistic L2,0.00641025641025641,0.05649717514124294,0.9837796607992648,0.8292986831122425
default,full,Logistic L2,0.007936507936507936,0.05649717514124294,0.9808296879074463,0.8292986831122425
default,full,Logistic L2,0.007936507936507936,0.062146892655367235,0.9806530033659464,0.8292986831122425
default,full,Logistic L2,0.00931013431013431,0.062146892655367235,0.9787428595285034,0.8292986831122425
default,full,Logistic L2,0.00931013431013431,0.06779661016949153,0.9785309799408978,0.8292986831122425
default,full,Logistic L2,0.010225885225885226,0.06779661016949153,0.976733579596419,0.8292986831122425
default,full,Logistic L2,0.010225885225885226,0.07344632768361582,0.975788651435888,0.8292986831122425
default,full,Logistic L2,0.010378510378510378,0.07344632768361582,0.9757866513333004,0.8292986831122425
default,full,Logistic L2,0.010378510378510378,0.07909604519774012,0.9743330463508558,0.8292986831122425
default,full,Logistic L2,0.010531135531135532,0.07909604519774012,0.9742966509178821,0.8292986831122425
default,full,Logistic L2,0.010531135531135532,0.0847457627118644,0.9740097933351083,0.8292986831122425
default,full,Logistic L2,0.01098901098901099,0.0847457627118644,0.9737145481752919,0.8292986831122425
default,full,Logistic L2,0.01098901098901099,0.096045197740113,0.9732945955133824,0.8292986831122425
default,full,Logistic L2,0.011752136752136752,0.096045197740113,0.9714437331918724,0.8292986831122425
default,full,Logistic L2,0.011752136752136752,0.1016949152542373,0.9711427797495505,0.8292986831122425
default,full,Logistic L2,0.01282051282051282,0.1016949152542373,0.9698881400362751,0.8292986831122425
default,full,Logistic L2,0.01282051282051282,0.10734463276836158,0.9691548663931348,0.8292986831122425
default,full,Logistic L2,0.012973137973137974,0.10734463276836158,0.9684609933294114,0.8292986831122425
default,full,Logistic L2,0.012973137973137974,0.11299435028248588,0.9683119299112494,0.8292986831122425
default,full,Logistic L2,0.013431013431013432,0.11299435028248588,0.9679614394126461,0.8292986831122425
default,full,Logistic L2,0.013431013431013432,0.11864406779661017,0.9679532765194279,0.8292986831122425
default,full,Logistic L2,0.016025641025641024,0.11864406779661017,0.9636486084914634,0.8292986831122425
default,full,Logistic L2,0.016025641025641024,0.12429378531073447,0.9628450253823491,0.8292986831122425
default,full,Logistic L2,0.016330891330891332,0.12429378531073447,0.9627368402332093,0.8292986831122425
default,full,Logistic L2,0.016330891330891332,0.13559322033898305,0.9620266877230786,0.8292986831122425
default,full,Logistic L2,0.016483516483516484,0.13559322033898305,0.9610138070038344,0.8292986831122425
default,full,Logistic L2,0.016483516483516484,0.14124293785310735,0.960999984342789,0.8292986831122425
default,full,Logistic L2,0.017704517704517704,0.14124293785310735,0.9601067090433575,0.8292986831122425
default,full,Logistic L2,0.017704517704517704,0.14689265536723164,0.9601018432487168,0.8292986831122425
default,full,Logistic L2,0.018162393162393164,0.14689265536723164,0.9599580471815323,0.8292986831122425
default,full,Logistic L2,0.018162393162393164,0.15254237288135594,0.9596937909577845,0.8292986831122425
default,full,Logistic L2,0.021062271062271064,0.15254237288135594,0.9568602123064189,0.8292986831122425
default,full,Logistic L2,0.021062271062271064,0.15819209039548024,0.9564328683006216,0.8292986831122425
default,full,Logistic L2,0.021672771672771672,0.15819209039548024,0.955021588556392,0.8292986831122425
default,full,Logistic L2,0.021672771672771672,0.1638418079096045,0.9545611519111346,0.8292986831122425
default,full,Logistic L2,0.025030525030525032,0.1638418079096045,0.946070482062121,0.8292986831122425
default,full,Logistic L2,0.025030525030525032,0.1694915254237288,0.9458453204966363,0.8292986831122425
default,full,Logistic L2,0.026404151404151404,0.1694915254237288,0.9408372739258617,0.8292986831122425
default,full,Logistic L2,0.026404151404151404,0.1807909604519774,0.9406317607981615,0.8292986831122425
default,full,Logistic L2,0.02731990231990232,0.1807909604519774,0.9384007977722002,0.8292986831122425
default,full,Logistic L2,0.02731990231990232,0.1864406779661017,0.9379967537446987,0.8292986831122425
default,full,Logistic L2,0.030067155067155068,0.1864406779661017,0.9306350700231594,0.8292986831122425
default,full,Logistic L2,0.030067155067155068,0.192090395480226,0.9305634220313264,0.8292986831122425
default,full,Logistic L2,0.030982905982905984,0.192090395480226,0.9276047016000811,0.8292986831122425
default,full,Logistic L2,0.030982905982905984,0.1977401129943503,0.9275660470905336,0.8292986831122425
default,full,Logistic L2,0.032661782661782664,0.1977401129943503,0.9232243647538144,0.8292986831122425
default,full,Logistic L2,0.032661782661782664,0.2033898305084746,0.9231214980829435,0.8292986831122425
default,full,Logistic L2,0.033424908424908424,0.2033898305084746,0.9213794199773213,0.8292986831122425
default,full,Logistic L2,0.033424908424908424,0.20903954802259886,0.9212213683607549,0.8292986831122425
default,full,Logistic L2,0.0347985347985348,0.20903954802259886,0.9175372224214599,0.8292986831122425
default,full,Logistic L2,0.0347985347985348,0.21468926553672316,0.9165851761180507,0.8292986831122425
default,full,Logistic L2,0.035103785103785104,0.21468926553672316,0.9157291712027682,0.8292986831122425
default,full,Logistic L2,0.035103785103785104,0.22033898305084745,0.9157088903127414,0.8292986831122425
default,full,Logistic L2,0.03556166056166056,0.22033898305084745,0.9137106094508742,0.8292986831122425
default,full,Logistic L2,0.03556166056166056,0.22598870056497175,0.9135507941791003,0.8292986831122425
