threshold,precision,recall,f1
0.05,0.09469026548672567,0.6045197740112994,0.1637337413925019
0.060000000000000005,0.09915611814345991,0.5310734463276836,0.1671111111111111
0.07,0.10434782608695652,0.4745762711864407,0.1710794297352342
0.08000000000000002,0.11295180722891567,0.423728813559322,0.178359096313912
0.09000000000000001,0.13043478260869565,0.4067796610169492,0.19753086419753085
0.1,0.1337579617834395,0.3559322033898305,0.19444444444444445
0.11000000000000001,0.13089005235602094,0.2824858757062147,0.17889087656529518
0.12000000000000002,0.13354037267080746,0.24293785310734464,0.17234468937875752
0.13,0.12393162393162394,0.1638418079096045,0.1411192214111922
0.14,0.13450292397660818,0.12994350282485875,0.13218390804597702
0.15000000000000002,0.13846153846153847,0.1016949152542373,0.11726384364820847
0.16000000000000003,0.14912280701754385,0.096045197740113,0.11683848797250859
0.17000000000000004,0.14285714285714285,0.06779661016949153,0.09195402298850575
0.18000000000000002,0.1724137931034483,0.05649717514124294,0.0851063829787234
0.19000000000000003,0.18421052631578946,0.03954802259887006,0.06511627906976744
0.20000000000000004,0.18181818181818182,0.03389830508474576,0.05714285714285714
0.21000000000000002,0.20689655172413793,0.03389830508474576,0.05825242718446602
0.22000000000000003,0.13636363636363635,0.01694915254237288,0.03015075376884422
0.23000000000000004,0.16666666666666666,0.01694915254237288,0.03076923076923077
0.24000000000000005,0.21428571428571427,0.01694915254237288,0.031413612565445025
0.25000000000000006,0.25,0.01694915254237288,0.031746031746031744
0.26000000000000006,0.3,0.01694915254237288,0.03208556149732621
0.27,0.3333333333333333,0.01694915254237288,0.03225806451612903
0.28,0.3333333333333333,0.01694915254237288,0.03225806451612903
0.29000000000000004,0.14285714285714285,0.005649717514124294,0.010869565217391304
0.30000000000000004,0.14285714285714285,0.005649717514124294,0.010869565217391304
0.31000000000000005,0.0,0.0,0.0
0.32000000000000006,0.0,0.0,0.0
0.33000000000000007,0.0,0.0,0.0
0.3400000000000001,0.0,0.0,0.0
0.3500000000000001,0.0,0.0,0.0
0.36000000000000004,0.0,0.0,0.0
0.37000000000000005,0.0,0.0,0.0
0.38000000000000006,0.0,0.0,0.0
0.39000000000000007,0.0,0.0,0.0
0.4000000000000001,0.0,0.0,0.0
0.4100000000000001,0.0,0.0,0.0
0.4200000000000001,0.0,0.0,0.0
0.43000000000000005,0.0,0.0,0.0
0.44000000000000006,0.0,0.0,0.0
0.45000000000000007,0.0,0.0,0.0
0.4600000000000001,0.0,0.0,0.0
0.4700000000000001,0.0,0.0,0.0
0.4800000000000001,0.0,0.0,0.0
0.4900000000000001,0.0,0.0,0.0
0.5000000000000001,0.0,0.0,0.0
0.5100000000000001,0.0,0.0,0.0
0.5200000000000001,0.0,0.0,0.0
0.5300000000000001,0.0,0.0,0.0
0.5400000000000001,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.56,0.0,0.0,0.0
0.5700000000000001,0.0,0.0,0.0
0.5800000000000001,0.0,0.0,0.0
0.5900000000000001,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0
0.6100000000000001,0.0,0.0,0.0
0.6200000000000001,0.0,0.0,0.0
0.6300000000000001,0.0,0.0,0.0
0.6400000000000001,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0
0.6600000000000001,0.0,0.0,0.0
0.6700000000000002,0.0,0.0,0.0
0.6800000000000002,0.0,0.0,0.0
0.6900000000000002,0.0,0.0,0.0
0.7000000000000002,0.0,0.0,0.0
0.7100000000000002,0.0,0.0,0.0
0.7200000000000001,0.0,0.0,0.0
0.7300000000000001,0.0,0.0,0.0
0.7400000000000001,0.0,0.0,0.0
0.7500000000000001,0.0,0.0,0.0
0.7600000000000001,0.0,0.0,0.0
0.7700000000000001,0.0,0.0,0.0
0.7800000000000001,0.0,0.0,0.0
0.7900000000000001,0.0,0.0,0.0
0.8000000000000002,0.0,0.0,0.0
0.8100000000000002,0.0,0.0,0.0
0.8200000000000002,0.0,0.0,0.0
0.8300000000000002,0.0,0.0,0.0
0.8400000000000002,0.0,0.0,0.0
0.8500000000000002,0.0,0.0,0.0
0.8600000000000002,0.0,0.0,0.0
0.8700000000000001,0.0,0.0,0.0
0.8800000000000001,0.0,0.0,0.0
0.8900000000000001,0.0,0.0,0.0
0.9000000000000001,0.0,0.0,0.0
