outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,full,Logistic L1,0.66,0.854574299312533,0.7328798185941043,0.7890624999999999,0.837593984962406,0.9117174959871589,1616,275,2840,589
high_debt_burden,full,Logistic L1,0.67,0.8576779026217228,0.726984126984127,0.7869415807560136,0.8368421052631579,0.9146067415730337,1603,266,2849,602
high_debt_burden,full,Logistic L1,0.68,0.8606423516603158,0.7170068027210884,0.7822859970311726,0.8345864661654135,0.9178170144462279,1581,256,2859,624
high_debt_burden,full,Logistic L1,0.6900000000000001,0.862885462555066,0.7106575963718821,0.7794081074359611,0.8332706766917293,0.9200642054574639,1567,249,2866,638
high_debt_burden,full,Logistic L1,0.7000000000000001,0.8661814109742442,0.7015873015873015,0.775244299674267,0.831390977443609,0.9232744783306581,1547,239,2876,658
high_debt_burden,full,Logistic L1,0.71,0.8722919042189282,0.6938775510204082,0.7729224551654458,0.831015037593985,0.9280898876404494,1530,224,2891,675
high_debt_burden,full,Logistic L1,0.72,0.8747805734347571,0.6780045351473923,0.7639243740419008,0.8263157894736842,0.9313001605136436,1495,214,2901,710
high_debt_burden,full,Logistic L1,0.73,0.8764111705288176,0.6689342403628118,0.7587448559670782,0.8236842105263158,0.9332263242375602,1475,208,2907,730
high_debt_burden,full,Logistic L1,0.74,0.8796352583586626,0.6562358276643991,0.7516883116883117,0.8203007518796992,0.9364365971107544,1447,198,2917,758
high_debt_burden,full,Logistic L1,0.75,0.8827199001871491,0.6417233560090703,0.7431722689075629,0.8161654135338345,0.9396468699839486,1415,188,2927,790
high_debt_burden,full,Logistic L1,0.76,0.882202304737516,0.6249433106575963,0.731616671091054,0.8099624060150376,0.9409309791332263,1378,184,2931,827
high_debt_burden,full,Logistic L1,0.77,0.8866183256427159,0.6099773242630385,0.722729715206878,0.806015037593985,0.9447833065810594,1345,172,2943,860
high_debt_burden,full,Logistic L1,0.78,0.8888888888888888,0.5950113378684807,0.7128497690844878,0.8013157894736842,0.9473515248796147,1312,164,2951,893
high_debt_burden,full,Logistic L1,0.79,0.8916841369671559,0.5786848072562358,0.701870187018702,0.7962406015037594,0.9502407704654896,1276,155,2960,929
high_debt_burden,full,Logistic L1,0.8,0.897080291970803,0.5573696145124717,0.6875524475524477,0.7900375939849624,0.9547351524879615,1229,141,2974,976
high_debt_burden,full,Logistic L1,0.81,0.9006823351023503,0.5387755102040817,0.674233825198638,0.7842105263157895,0.9579454253611557,1188,131,2984,1017
