outcome,feature_set,model,precision,recall,threshold,average_precision
high_debt_burden,app,"Logistic (app, calibrated)",0.4144736842105263,1.0,0.015384615384615385,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41478555304740405,1.0,0.02195121951219512,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4149416635302973,1.0,0.02307520497000387,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4150197628458498,1.0,0.023076923076923078,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4150978915662651,1.0,0.024698974571452002,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4151760497081529,1.0,0.02857142857142857,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4152542372881356,1.0,0.029396900829650453,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.415332454322848,1.0,0.029575430674858634,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4152223059532781,0.999546485260771,0.029637418018776812,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41530054644808745,0.999546485260771,0.03495893931145261,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4153788164342254,0.999546485260771,0.04556643356643357,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4154571159283695,0.999546485260771,0.048838446383836956,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4155354449472097,0.999546485260771,0.05144724556489262,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41569219162580157,0.999546485260771,0.05283976954899265,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4155819656668553,0.999092970521542,0.05331755514535539,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41566037735849054,0.999092970521542,0.05357142857142857,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41555010379316853,0.998639455782313,0.05806087601606226,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41562853907134767,0.998639455782313,0.05945378151260504,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.415785498489426,0.998639455782313,0.06415375485158374,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41567516525023607,0.9981859410430839,0.06579530910901449,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.415564790328674,0.9977324263038548,0.06615384615384616,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41564330247496695,0.9977324263038548,0.0722960888130604,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41572184429327286,0.9977324263038548,0.07307692307692307,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4158004158004158,0.9977324263038548,0.07520744279607744,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4158790170132325,0.9977324263038548,0.08193006993006993,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4159576479485725,0.9977324263038548,0.08306100217864924,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4161149990542841,0.9977324263038548,0.0832186065915728,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41624077228847245,0.9972789115646259,0.08591153851627993,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4163195759182128,0.9972789115646259,0.08736263736263736,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41655616594051903,0.9972789115646259,0.09115953917694497,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41663508904888213,0.9972789115646259,0.09316012705940906,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4167140420693576,0.9972789115646259,0.09321482148970499,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41679302501895377,0.9972789115646259,0.09447497523468089,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41687203791469196,0.9972789115646259,0.09520744279607744,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4169510807736064,0.9972789115646259,0.09664044913960668,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41703015361274415,0.9972789115646259,0.0971062271062271,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4171092564491654,0.9972789115646259,0.09897295915871701,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41718838929994306,0.9972789115646259,0.09945378151260505,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4172675521821632,0.9972789115646259,0.099707836390049,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.41734674511292463,0.9972789115646259,0.09988527325823947,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4179813723626687,0.9972789115646259,0.10280830856801422,0.5506808625171314
high_debt_burden,app,"Logistic (app, calibrated)",0.4180608365019011,0.9972789115646259,0.10470957613814758,0.5506808625171314
